            Time             Fpx             Fpy             Fpz             Fvx             Fvy             Fvz             Mtx             Mty             Mtz           Y+min           Y+max
          11.391         18324.3        -12752.9     4.45109e-17         317.937         3.55876      -0.0289693          152408          223600         -63.781       0.0217488         1.76927
          11.394         18366.3        -12899.9     4.32689e-17         317.983          3.2456      -0.0290977          154195          224105        -63.8794       0.0251388         1.77042
          11.397         18407.7        -13039.8     4.21498e-17         318.031         2.92951      -0.0292255          155897          224603        -63.9599      0.00562467         1.77156
            11.4         18448.4        -13172.8     4.11167e-17          318.08         2.61063      -0.0293514          157515          225093         -64.023       0.0394598          1.7727
          11.403         18488.2        -13298.8     4.02383e-17         318.129          2.2891      -0.0294735          159051          225573        -64.0691       0.0254863         1.77383
          11.406         18527.1        -13417.7     3.92855e-17          318.18         1.96508      -0.0295929          160502          226042        -64.0973      0.00931194         1.77496
          11.409         18565.1        -13529.2     3.83955e-17         318.231         1.63873      -0.0297097          161864          226500        -64.1068        0.051365         1.77607
          11.412           18602        -13633.3     3.75704e-17         318.283         1.31021      -0.0298228          163137          226947         -64.098       0.0316647         1.77718
          11.415         18637.9        -13729.9     3.67593e-17         318.336        0.979668      -0.0299328          164322          227380        -64.0711       0.0265432         1.77829
          11.418         18672.9        -13819.2         3.6e-17          318.39        0.647276      -0.0300408          165417          227802        -64.0263       0.0609149         1.77938
          11.421         18706.9        -13901.2     3.53958e-17         318.445        0.313208      -0.0301439          166425          228213        -63.9645       0.0325401         1.78047
          11.424         18739.7        -13975.8     3.46911e-17         318.501      -0.0223534      -0.0302408          167345          228611        -63.8852       0.0509757         1.78155
          11.427         18771.3        -14042.9     3.39045e-17         318.557       -0.359219       -0.030331          168175          228994        -63.7879       0.0321564         1.78262
           11.43         18801.6        -14102.4     3.29122e-17         318.615       -0.697198      -0.0304163          168913          229360        -63.6724       0.0292595         1.78368
          11.433         18830.3        -14154.3     3.20296e-17         318.673         -1.0361      -0.0304944          169562          229710        -63.5395       0.0731953         1.78472
          11.436         18857.8        -14198.6     3.09915e-17         318.732        -1.37573      -0.0305669          170119          230043        -63.3889       0.0223725         1.78576
          11.439           18884        -14235.5     2.99398e-17         318.792        -1.71588      -0.0306345          170586          230361        -63.2211       0.0147521         1.78679
          11.442           18909          -14265     2.88739e-17         318.852        -2.05637       -0.030695          170964          230665        -63.0366       0.0616599          1.7878
          11.445         18932.5        -14286.9     2.78242e-17         318.914        -2.39699      -0.0307466          171252          230952        -62.8346       0.0309086         1.78881
